epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4718,1.62116,2.88748,1.47881,0.01181,0.81739,0.39484,0.26063,1.2399,2.62526,1.01409,0.00018,0.00018,0.00018
2,25.3421,1.45651,2.0152,1.30941,0.89182,0.21511,0.44501,0.27849,1.40068,2.38105,1.13197,0.000372476,0.000372476,0.000372476
3,33.7312,1.34165,1.4834,1.24796,0.75093,0.36706,0.45138,0.29225,1.55992,2.21526,1.24099,0.000557032,0.000557032,0.000557032
4,42.3386,1.3772,1.39636,1.26412,0.69894,0.41739,0.46735,0.27777,1.69273,2.00947,1.33177,0.000733668,0.000733668,0.000733668
5,48.8083,1.39403,1.35252,1.27568,0.53371,0.32847,0.35375,0.1868,1.81688,2.26955,1.52806,0.000902384,0.000902384,0.000902384
6,54.2851,1.39475,1.4204,1.29295,0.48436,0.43478,0.39944,0.22041,1.885,1.94072,1.58029,0.00106318,0.00106318,0.00106318
7,59.7472,1.34057,1.3609,1.25401,0.52251,0.4,0.38698,0.21614,1.76347,1.98954,1.44116,0.00121606,0.00121606,0.00121606
8,65.4001,1.36652,1.33815,1.27852,0.50387,0.4087,0.39487,0.2104,1.76616,2.07985,1.51211,0.00136101,0.00136101,0.00136101
9,71.447,1.39021,1.33084,1.2775,0.47971,0.37391,0.36391,0.18574,1.75398,2.21577,1.5742,0.00149805,0.00149805,0.00149805
10,78.4996,1.34443,1.32796,1.26072,0.60625,0.33043,0.40346,0.20119,1.85669,1.90333,1.62001,0.00162716,0.00162716,0.00162716
11,89.6623,1.3081,1.26181,1.25961,0.66279,0.36522,0.4263,0.18711,1.90949,2.07527,1.60146,0.001604,0.001604,0.001604
12,114.42,1.35138,1.24534,1.24521,0.61937,0.39622,0.42884,0.23674,1.74705,1.8795,1.42066,0.0015644,0.0015644,0.0015644
13,137.482,1.35704,1.23531,1.26397,0.62148,0.45217,0.47084,0.23655,1.79684,1.78838,1.42759,0.0015248,0.0015248,0.0015248
14,143.131,1.31399,1.15597,1.23823,0.67867,0.43478,0.48823,0.27752,1.64754,1.70309,1.4173,0.0014852,0.0014852,0.0014852
15,148.386,1.21331,1.13009,1.19998,0.56408,0.47262,0.4763,0.25147,1.59827,1.68424,1.37699,0.0014456,0.0014456,0.0014456
16,156.774,1.26661,1.14417,1.20354,0.60537,0.48696,0.50965,0.26234,1.67438,1.6526,1.42965,0.001406,0.001406,0.001406
17,161.985,1.24186,1.12921,1.18993,0.54827,0.53913,0.50489,0.26626,1.67525,1.70173,1.44975,0.0013664,0.0013664,0.0013664
18,167.223,1.28642,1.16929,1.25633,0.35588,0.29565,0.18665,0.08601,1.88346,2.4152,1.61483,0.0013268,0.0013268,0.0013268
19,172.489,1.24941,1.13109,1.22079,0.53791,0.3948,0.37955,0.196,1.77629,1.81027,1.45868,0.0012872,0.0012872,0.0012872
20,177.667,1.28327,1.13125,1.21248,0.50303,0.4,0.39819,0.20441,1.88266,1.84278,1.51847,0.0012476,0.0012476,0.0012476
21,182.915,1.19965,1.13356,1.20001,0.45785,0.45217,0.39347,0.21982,1.75276,1.7525,1.40305,0.001208,0.001208,0.001208
22,187.907,1.19982,1.14391,1.19266,0.53937,0.56522,0.45903,0.25928,1.55753,1.61669,1.29883,0.0011684,0.0011684,0.0011684
23,192.977,1.16985,1.0631,1.18593,0.60419,0.47826,0.48871,0.28949,1.54083,1.54806,1.29755,0.0011288,0.0011288,0.0011288
24,198.91,1.2487,1.12192,1.23575,0.70862,0.52869,0.58033,0.34078,1.54349,1.46395,1.30385,0.0010892,0.0010892,0.0010892
25,203.852,1.17794,1.05591,1.18284,0.67312,0.50435,0.55584,0.32186,1.59965,1.442,1.31721,0.0010496,0.0010496,0.0010496
26,208.986,1.1327,1.00167,1.16831,0.52331,0.5913,0.51779,0.30171,1.60807,1.50157,1.29931,0.00101,0.00101,0.00101
27,213.839,1.23582,1.04927,1.16617,0.60552,0.55652,0.55028,0.31795,1.57868,1.44499,1.31324,0.0009704,0.0009704,0.0009704
28,218.827,1.15873,0.97229,1.14959,0.69616,0.51304,0.55382,0.31476,1.64307,1.43609,1.40122,0.0009308,0.0009308,0.0009308
29,223.726,1.16849,1.00317,1.16619,0.74928,0.51976,0.57295,0.3302,1.59751,1.38292,1.36834,0.0008912,0.0008912,0.0008912
